Video_Bitrate,Video_Width(Pixels),Audio_Bitrate,Video_Height(Pixels),Overall_bitrate,Video_Matrix_coefficients,Codec_ID,file_name,Format_profile,Writing_application,Movie_name,Video_ID,Video_Format_profile,Video_Format_settings,Video_Title,Video_Color_range,Video_Color_primaries,Video_Transfer_characteristics,Audio_ID,Audio_Title,Audio_Alternate_group,BOX_Sequence,label_folder
531,436,128,768,663,0,isom isom iso2 avc1 mp41 ,Android_Band1.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
1567,768,129,436,1690,0,isom isom iso2 avc1 mp41 ,Android_Band10.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
739,768,128,436,870,0,isom isom iso2 avc1 mp41 ,Android_Band11.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
1150,436,129,768,1276,0,isom isom iso2 avc1 mp41 ,Android_Band12.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
1158,436,129,768,1275,0,isom isom iso2 avc1 mp41 ,Android_Band13.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
1367,436,129,768,1495,0,isom isom iso2 avc1 mp41 ,Android_Band14.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
1053,768,129,436,1180,0,isom isom iso2 avc1 mp41 ,Android_Band15.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
541,436,129,768,670,0,isom isom iso2 avc1 mp41 ,Android_Band16.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
375,436,129,768,508,0,isom isom iso2 avc1 mp41 ,Android_Band17.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
877,768,129,436,1001,0,isom isom iso2 avc1 mp41 ,Android_Band18.mp4,Base Media,Lavf58.12.100,None,1,High L3.0,CABAC 4 Ref Frames,VideoHandler,0,0,0,2,SoundHandler,1,ftyp moov free mdat,Band
